id,template_id,user_id,email_type,success,error_message,response_time,token_usage,created_at
cmbuc6hgk0009xfedhq7idyak,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,492,301,2025-06-13 04:57:39.044
cmbuc6hk7000bxfed3q6uw2wm,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,417,292,2025-06-13 04:57:39.093
cmbuc6hrb000dxfedbccvtaxg,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,400,300,2025-06-13 04:57:39.205
cmbuc6mis000pxfedkhx2e2c0,cmbubzuhy0003xf7v7qz1xv9u,null,unknown,true,null,5132,30379,2025-06-13 04:57:45.605
cmbuc6n5d000vxfed3m22pqc2,cmbubzulq0004xf7vrp66zb6f,null,unknown,true,null,6050,47609,2025-06-13 04:57:46.392
cmbuc6obj000zxfed1en7b37q,cmbubzue50002xf7vnwo0payz,null,unknown,true,null,7465,30889,2025-06-13 04:57:47.935
cmbucej7r001fxfed9gux3pif,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,634,292,2025-06-13 05:03:54.567
cmbucejym001lxfed5zfa9klw,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,1594,300,2025-06-13 05:03:55.535
cmbuceo7x001pxfedpjwd5jp7,cmbubzuhy0003xf7v7qz1xv9u,null,unknown,true,null,5968,30377,2025-06-13 05:04:01.054
cmbuceoyt001vxfeddlmqismw,cmbubzulq0004xf7vrp66zb6f,null,unknown,true,null,6093,47611,2025-06-13 05:04:02.021
cmbucfyy30024xfed5zju70yo,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,494,301,2025-06-13 05:05:01.584
cmbucg3ky0028xfedd6p1165n,cmbubzue50002xf7vnwo0payz,null,unknown,true,null,5611,30889,2025-06-13 05:05:07.619
cmbucgryn002kxfeds23c938r,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,363,292,2025-06-13 05:05:39.189
